appid,name,release_date,is_free,price,downloadable_content,about_the_game,short_description,detailed_description,header_image,website,support_url,support_email,windows,mac,linux,metacritic_score,metacritic_url,achievements,recommendations,supported_languages,full_audio_languages,developers,publishers,categories,genres
1001008,Zero Price Not Marked Free,2023-05-10,false,0.00,0,A generic game about generic things.,A short generic description.,A longer detailed generic description of the game.,https://cdn.example.com/header.jpg,https://example.com,https://example.com/support,support@example.com,true,false,false,75,https://metacritic.com/game/generic-game,20,500,English,English,Generic Studio,Generic Publisher,Single-player,Action
1001009,Text Price Game,2023-05-10,false,,0,A generic game about generic things.,A short generic description.,A longer detailed generic description of the game.,https://cdn.example.com/header.jpg,https://example.com,https://example.com/support,support@example.com,true,false,false,75,https://metacritic.com/game/generic-game,20,500,English,English,Generic Studio,Generic Publisher,Single-player,Action
1001010,Negative DLC Count Game,2023-05-10,false,19.99,-5,A generic game about generic things.,A short generic description.,A longer detailed generic description of the game.,https://cdn.example.com/header.jpg,https://example.com,https://example.com/support,support@example.com,true,false,false,75,https://metacritic.com/game/generic-game,20,500,English,English,Generic Studio,Generic Publisher,Single-player,Action
1001011,Text DLC Count Game,2023-05-10,false,19.99,,A generic game about generic things.,A short generic description.,A longer detailed generic description of the game.,https://cdn.example.com/header.jpg,https://example.com,https://example.com/support,support@example.com,true,false,false,75,https://metacritic.com/game/generic-game,20,500,English,English,Generic Studio,Generic Publisher,Single-player,Action
1001012,Empty About Game,2023-05-10,false,19.99,0,,A short generic description.,A longer detailed generic description of the game.,https://cdn.example.com/header.jpg,https://example.com,https://example.com/support,support@example.com,true,false,false,75,https://metacritic.com/game/generic-game,20,500,English,English,Generic Studio,Generic Publisher,Single-player,Action
1001013,Comma Description Game,2023-05-10,false,19.99,0,A generic game about generic things.,"Fast-paced, action-packed, chaotic shooter",A longer detailed generic description of the game.,https://cdn.example.com/header.jpg,https://example.com,https://example.com/support,support@example.com,true,false,false,75,https://metacritic.com/game/generic-game,20,500,English,English,Generic Studio,Generic Publisher,Single-player,Action
1001014,Missing Header Image Game,2023-05-10,false,19.99,0,A generic game about generic things.,A short generic description.,A longer detailed generic description of the game.,,https://example.com,https://example.com/support,support@example.com,true,false,false,75,https://metacritic.com/game/generic-game,20,500,English,English,Generic Studio,Generic Publisher,Single-player,Action
1001015,No Website Game,2023-05-10,false,19.99,0,A generic game about generic things.,A short generic description.,A longer detailed generic description of the game.,https://cdn.example.com/header.jpg,,https://example.com/support,support@example.com,true,false,false,75,https://metacritic.com/game/generic-game,20,500,English,English,Generic Studio,Generic Publisher,Single-player,Action
1001016,Malformed Support URL Game,2023-05-10,false,19.99,0,A generic game about generic things.,A short generic description.,A longer detailed generic description of the game.,https://cdn.example.com/header.jpg,https://example.com,www.example.com/support,support@example.com,true,false,false,75,https://metacritic.com/game/generic-game,20,500,English,English,Generic Studio,Generic Publisher,Single-player,Action
1001017,HTTP Not HTTPS Support URL Game,2023-05-10,false,19.99,0,A generic game about generic things.,A short generic description.,A longer detailed generic description of the game.,https://cdn.example.com/header.jpg,https://example.com,http://example.com/support,support@example.com,true,false,false,75,https://metacritic.com/game/generic-game,20,500,English,English,Generic Studio,Generic Publisher,Single-player,Action
1001018,Null Support URL Game,2023-05-10,false,19.99,0,A generic game about generic things.,A short generic description.,A longer detailed generic description of the game.,https://cdn.example.com/header.jpg,https://example.com,,support@example.com,true,false,false,75,https://metacritic.com/game/generic-game,20,500,English,English,Generic Studio,Generic Publisher,Single-player,Action
1001019,Malformed Support Email Game,2023-05-10,false,19.99,0,A generic game about generic things.,A short generic description.,A longer detailed generic description of the game.,https://cdn.example.com/header.jpg,https://example.com,https://example.com/support,not-an-email,true,false,false,75,https://metacritic.com/game/generic-game,20,500,English,English,Generic Studio,Generic Publisher,Single-player,Action
1001020,Cross Platform Game,2023-05-10,false,19.99,0,A generic game about generic things.,A short generic description.,A longer detailed generic description of the game.,https://cdn.example.com/header.jpg,https://example.com,https://example.com/support,support@example.com,true,true,true,75,https://metacritic.com/game/generic-game,20,500,English,English,Generic Studio,Generic Publisher,Single-player,Action
1001021,Zero Metacritic Score Game,2023-05-10,false,19.99,0,A generic game about generic things.,A short generic description.,A longer detailed generic description of the game.,https://cdn.example.com/header.jpg,https://example.com,https://example.com/support,support@example.com,true,false,false,0,https://metacritic.com/game/generic-game,20,500,English,English,Generic Studio,Generic Publisher,Single-player,Action
1001022,Missing Metacritic Score Game,2023-05-10,false,19.99,0,A generic game about generic things.,A short generic description.,A longer detailed generic description of the game.,https://cdn.example.com/header.jpg,https://example.com,https://example.com/support,support@example.com,true,false,false,,https://metacritic.com/game/generic-game,20,500,English,English,Generic Studio,Generic Publisher,Single-player,Action
1001023,Negative Metacritic Score Game,2023-05-10,false,19.99,0,A generic game about generic things.,A short generic description.,A longer detailed generic description of the game.,https://cdn.example.com/header.jpg,https://example.com,https://example.com/support,support@example.com,true,false,false,-10,https://metacritic.com/game/generic-game,20,500,English,English,Generic Studio,Generic Publisher,Single-player,Action
1001024,Over 100 Metacritic Score Game,2023-05-10,false,19.99,0,A generic game about generic things.,A short generic description.,A longer detailed generic description of the game.,https://cdn.example.com/header.jpg,https://example.com,https://example.com/support,support@example.com,true,false,false,105,https://metacritic.com/game/generic-game,20,500,English,English,Generic Studio,Generic Publisher,Single-player,Action
1001025,Valid Metacritic Score Game,2023-05-10,false,19.99,0,A generic game about generic things.,A short generic description.,A longer detailed generic description of the game.,https://cdn.example.com/header.jpg,https://example.com,https://example.com/support,support@example.com,true,false,false,87,https://metacritic.com/game/generic-game,20,500,English,English,Generic Studio,Generic Publisher,Single-player,Action
1001026,Malformed Metacritic URL Game,2023-05-10,false,19.99,0,A generic game about generic things.,A short generic description.,A longer detailed generic description of the game.,https://cdn.example.com/header.jpg,https://example.com,https://example.com/support,support@example.com,true,false,false,75,metacritic.com/game/broken-url,20,500,English,English,Generic Studio,Generic Publisher,Single-player,Action
1001027,Null Metacritic URL Game,2023-05-10,false,19.99,0,A generic game about generic things.,A short generic description.,A longer detailed generic description of the game.,https://cdn.example.com/header.jpg,https://example.com,https://example.com/support,support@example.com,true,false,false,75,,20,500,English,English,Generic Studio,Generic Publisher,Single-player,Action
1001028,Negative Achievements Game,2023-05-10,false,19.99,0,A generic game about generic things.,A short generic description.,A longer detailed generic description of the game.,https://cdn.example.com/header.jpg,https://example.com,https://example.com/support,support@example.com,true,false,false,75,https://metacritic.com/game/generic-game,-3,500,English,English,Generic Studio,Generic Publisher,Single-player,Action
1001029,Zero Achievements Game,2023-05-10,false,19.99,0,A generic game about generic things.,A short generic description.,A longer detailed generic description of the game.,https://cdn.example.com/header.jpg,https://example.com,https://example.com/support,support@example.com,true,false,false,75,https://metacritic.com/game/generic-game,0,500,English,English,Generic Studio,Generic Publisher,Single-player,Action
1001030,Text Achievements Game,2023-05-10,false,19.99,0,A generic game about generic things.,A short generic description.,A longer detailed generic description of the game.,https://cdn.example.com/header.jpg,https://example.com,https://example.com/support,support@example.com,true,false,false,75,https://metacritic.com/game/generic-game,,500,English,English,Generic Studio,Generic Publisher,Single-player,Action
1001031,Negative Recommendations Game,2023-05-10,false,19.99,0,A generic game about generic things.,A short generic description.,A longer detailed generic description of the game.,https://cdn.example.com/header.jpg,https://example.com,https://example.com/support,support@example.com,true,false,false,75,https://metacritic.com/game/generic-game,20,-100,English,English,Generic Studio,Generic Publisher,Single-player,Action
1001032,Missing Recommendations Game,2023-05-10,false,19.99,0,A generic game about generic things.,A short generic description.,A longer detailed generic description of the game.,https://cdn.example.com/header.jpg,https://example.com,https://example.com/support,support@example.com,true,false,false,75,https://metacritic.com/game/generic-game,20,,English,English,Generic Studio,Generic Publisher,Single-player,Action
1001033,Popular Game High Recommendations,2023-05-10,false,19.99,0,A generic game about generic things.,A short generic description.,A longer detailed generic description of the game.,https://cdn.example.com/header.jpg,https://example.com,https://example.com/support,support@example.com,true,false,false,75,https://metacritic.com/game/generic-game,20,15000,English,English,Generic Studio,Generic Publisher,Single-player,Action
1001034,Multi Language Game,2023-05-10,false,19.99,0,A generic game about generic things.,A short generic description.,A longer detailed generic description of the game.,https://cdn.example.com/header.jpg,https://example.com,https://example.com/support,support@example.com,true,false,false,75,https://metacritic.com/game/generic-game,20,500,"English, French, German, Japanese, Swedish",English,Generic Studio,Generic Publisher,Single-player,Action
1001035,English Only Game,2023-05-10,false,19.99,0,A generic game about generic things.,A short generic description.,A longer detailed generic description of the game.,https://cdn.example.com/header.jpg,https://example.com,https://example.com/support,support@example.com,true,false,false,75,https://metacritic.com/game/generic-game,20,500,English,English,Generic Studio,Generic Publisher,Single-player,Action
1001036,Multi Audio Language Game,2023-05-10,false,19.99,0,A generic game about generic things.,A short generic description.,A longer detailed generic description of the game.,https://cdn.example.com/header.jpg,https://example.com,https://example.com/support,support@example.com,true,false,false,75,https://metacritic.com/game/generic-game,20,500,English,"English, Spanish - Spain, Portuguese - Brazil",Generic Studio,Generic Publisher,Single-player,Action
1001037,No Full Audio Game,2023-05-10,false,19.99,0,A generic game about generic things.,A short generic description.,A longer detailed generic description of the game.,https://cdn.example.com/header.jpg,https://example.com,https://example.com/support,support@example.com,true,false,false,75,https://metacritic.com/game/generic-game,20,500,English,,Generic Studio,Generic Publisher,Single-player,Action
1001038,Multi Developer Game,2023-05-10,false,19.99,0,A generic game about generic things.,A short generic description.,A longer detailed generic description of the game.,https://cdn.example.com/header.jpg,https://example.com,https://example.com/support,support@example.com,true,false,false,75,https://metacritic.com/game/generic-game,20,500,English,English,"Valve, Nvidia Lightspeed Studios",Generic Publisher,Single-player,Action
1001039,Single Developer Game,2023-05-10,false,19.99,0,A generic game about generic things.,A short generic description.,A longer detailed generic description of the game.,https://cdn.example.com/header.jpg,https://example.com,https://example.com/support,support@example.com,true,false,false,75,https://metacritic.com/game/generic-game,20,500,English,English,CD Projekt Red,Generic Publisher,Single-player,Action
1001040,Multi Publisher Game,2023-05-10,false,19.99,0,A generic game about generic things.,A short generic description.,A longer detailed generic description of the game.,https://cdn.example.com/header.jpg,https://example.com,https://example.com/support,support@example.com,true,false,false,75,https://metacritic.com/game/generic-game,20,500,English,English,Generic Studio,"Bandai Namco, Electronic Arts",Single-player,Action
1001041,Single Publisher Game,2023-05-10,false,19.99,0,A generic game about generic things.,A short generic description.,A longer detailed generic description of the game.,https://cdn.example.com/header.jpg,https://example.com,https://example.com/support,support@example.com,true,false,false,75,https://metacritic.com/game/generic-game,20,500,English,English,Generic Studio,Devolver Digital,Single-player,Action
1001042,Multi Category Game,2023-05-10,false,19.99,0,A generic game about generic things.,A short generic description.,A longer detailed generic description of the game.,https://cdn.example.com/header.jpg,https://example.com,https://example.com/support,support@example.com,true,false,false,75,https://metacritic.com/game/generic-game,20,500,English,English,Generic Studio,Generic Publisher,"Single-player, Multi-player, Co-op, Steam Achievements",Action
1001043,Multi Genre Game,2023-05-10,false,19.99,0,A generic game about generic things.,A short generic description.,A longer detailed generic description of the game.,https://cdn.example.com/header.jpg,https://example.com,https://example.com/support,support@example.com,true,false,false,75,https://metacritic.com/game/generic-game,20,500,English,English,Generic Studio,Generic Publisher,Single-player,"Action, Adventure, RPG"
620,Portal 2,2011-04-19,false,19.99,0,A generic game about generic things.,A short generic description.,A longer detailed generic description of the game.,https://cdn.example.com/header.jpg,https://example.com,https://example.com/support,support@example.com,true,false,false,75,https://metacritic.com/game/generic-game,20,500,English,English,Generic Studio,Generic Publisher,Single-player,Action
1001044,"",2023-05-10,false,19.99,0,A generic game about generic things.,A short generic description.,A longer detailed generic description of the game.,https://cdn.example.com/header.jpg,https://example.com,https://example.com/support,support@example.com,true,false,false,75,https://metacritic.com/game/generic-game,20,500,English,English,Generic Studio,Generic Publisher,Single-player,Action
1001045,Very Expensive Edition Game,2023-05-10,false,99999.99,0,A generic game about generic things.,A short generic description.,A longer detailed generic description of the game.,https://cdn.example.com/header.jpg,https://example.com,https://example.com/support,support@example.com,true,false,false,75,https://metacritic.com/game/generic-game,20,500,English,English,Generic Studio,Generic Publisher,Single-player,Action
1001046,Sparse Data Game,,false,,,,,A longer detailed generic description of the game.,https://cdn.example.com/header.jpg,,,support@example.com,true,false,false,,,,,English,English,Generic Studio,Generic Publisher,Single-player,Action
1245620,Elden Ring,2020-08-06,false,39.99,3,A generic game about generic things.,A short generic description.,A longer detailed generic description of the game.,https://cdn.example.com/header.jpg,https://example.com,https://example.com/support,support@example.com,true,false,false,91,https://metacritic.com/game/generic-game,45,8200,"English, Japanese",English,FromSoftware,Bandai Namco,"Single-player, Multi-player","Action, RPG"
